"description","regex"
"Detect a string that ends with the word 'alpha'.","^.*alpha$"
"Validate a string where the substring 'report' is immediately followed by a two-digit id.","^.*report\d{2}.*$"
"Test whether the input is a string of exactly one alphanumeric character.","^[A-Za-z0-9]{1}$"
"Search for a string of at least eight hexadecimal digits.","^[0-9A-Fa-f]{8,}$"
"Validate a string where the substring 'status' is immediately followed by a three-digit id.","^.*status\d{3}.*$"
"Detect a string where one or more digits come immediately before the word 'invoice'.","^.*\d+invoice.*$"
"Capture a string of exactly six alphanumeric characters.","^[A-Za-z0-9]{6}$"
"Find a string that ends with the word 'graph'.","^.*graph$"
"Detect a string made of four uppercase letters followed by one digit.","^[A-Z]{4}[0-9]{1}$"
"Detect a string of three lowercase letters and four digits separated by a slash.","^[a-z]{3}/[0-9]{4}$"
"Extract a string where the substring 'minute' is immediately followed by a two-digit id.","^.*minute\d{2}.*$"
"Match a string where the substring 'queue' is immediately followed by a four-digit id.","^.*queue\d{4}.*$"
"Detect a string where the substring 'report' is immediately followed by a two-digit id.","^.*report\d{2}.*$"
"Extract a string of three letters and three digits separated by a underscore.","^[A-Za-z]{3}_[0-9]{3}$"
"Capture a string of exactly seven alphanumeric characters.","^[A-Za-z0-9]{7}$"
"Search for a string that is exactly the word 'config'.","^config$"
"Check if the input is a string that is exactly the word 'year'.","^year$"
"Detect a string of four uppercase letters and four digits separated by a underscore.","^[A-Z]{4}_[0-9]{4}$"
"Detect a string of four letters and four digits separated by a dot.","^[A-Za-z]{4}\.[0-9]{4}$"
"Identify a string where the substring 'city' is immediately followed by a three-digit id.","^.*city\d{3}.*$"
"Identify a string containing the substring 'batch'.","^.*batch.*$"
"Extract a string of between five and ten whitespace characters.","^\s{5,10}$"
"Find a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Validate a string made of three letters followed by one digit.","^[A-Za-z]{3}[0-9]{1}$"
"Validate a string containing the standalone whole word 'queue'.","^.*\bqueue\b.*$"
"Check if the input is a string that ends with the word 'phone'.","^.*phone$"
"Identify a string of one or more special characters.","^[!@#$%^&*]+$"
"Extract a string of two lowercase letters and two digits separated by a colon.","^[a-z]{2}:[0-9]{2}$"
"Search for a string of three letters and four digits separated by a underscore.","^[A-Za-z]{3}_[0-9]{4}$"
"Check if the input is a string of at least three whitespace characters.","^\s{3,}$"
"Search for a string where the substring 'country' is immediately followed by a four-digit id.","^.*country\d{4}.*$"
"Test whether the input is a string where the word 'ticket' is followed by one or more digits.","^.*ticket\d+.*$"
"Match a string where the substring 'account' is immediately followed by a three-digit id.","^.*account\d{3}.*$"
"Capture a string that is exactly the word 'month'.","^month$"
"Extract a string of between one and three digits.","^[0-9]{1,3}$"
"Validate a string containing the substring 'item'.","^.*item.*$"
"Test whether the input is a string that starts with the word 'account'.","^account.*$"
"Capture a string of two uppercase letters and four digits separated by a hyphen.","^[A-Z]{2}-[0-9]{4}$"
"Detect a string of exactly two punctuation marks.","^[.,;:!?]{2}$"
"Search for a string of at least eight letters.","^[A-Za-z]{8,}$"
"Check if the input is a string that is exactly the word 'login'.","^login$"
"Extract a string containing the standalone whole word 'edge'.","^.*\bedge\b.*$"
"Check if the input is a string of exactly three alphanumeric characters.","^[A-Za-z0-9]{3}$"
"Extract a two-decimal amount that follows a colon, using a positive lookbehind.","(?<=:)\d+\.\d{2}"
"Search for a string where the substring 'node' is immediately followed by a four-digit id.","^.*node\d{4}.*$"
"Extract a string of three letters and two digits separated by a colon.","^[A-Za-z]{3}:[0-9]{2}$"
"Capture a string of exactly one consonant.","^[bcdfghjklmnpqrstvwxyz]$"
"Search for a string made of one letter followed by three digits.","^[A-Za-z]{1}[0-9]{3}$"
"Extract a string where the substring 'item' is immediately followed by a three-digit id.","^.*item\d{3}.*$"
"Match a string where the word 'edge' is followed by one or more digits.","^.*edge\d+.*$"
"Detect a string containing the standalone whole word 'config'.","^.*\bconfig\b.*$"
"Check if the input is a string containing the substring 'ticket'.","^.*ticket.*$"
"Check if the input is a string that ends with the word 'test'.","^.*test$"
"Capture the run of digits that appears right after an at sign, using a positive lookbehind.","(?<=@)\d+"
"Identify a string where the substring 'year' is immediately followed by a four-digit id.","^.*year\d{4}.*$"
"Extract a string made of three lowercase letters followed by one digit.","^[a-z]{3}[0-9]{1}$"
"Check if the input is a string of at least one lowercase letter.","^[a-z]{1,}$"
"Check if the input is a string of between one and three word characters.","^\w{1,3}$"
"Detect a string of at least three alphanumeric characters.","^[A-Za-z0-9]{3,}$"
"Check if the input is a string where the substring 'total' is immediately followed by a six-digit id.","^.*total\d{6}.*$"
"Test whether the input is a string containing the standalone whole word 'address'.","^.*\baddress\b.*$"
"Extract a string of at least five lowercase letters.","^[a-z]{5,}$"
"Extract a string where the substring 'alpha' is immediately followed by a four-digit id.","^.*alpha\d{4}.*$"
"Search for a string where the substring 'year' is immediately followed by a five-digit id.","^.*year\d{5}.*$"
"Test whether the input is a string of four uppercase letters and two digits separated by a colon.","^[A-Z]{4}:[0-9]{2}$"
"Validate a string where the word 'day' is followed by one or more digits.","^.*day\d+.*$"
"Identify a string made of two lowercase letters followed by one digit.","^[a-z]{2}[0-9]{1}$"
"Extract a string where the substring 'time' is immediately followed by a six-digit id.","^.*time\d{6}.*$"
"Extract a string of two lowercase letters and two digits separated by a slash.","^[a-z]{2}/[0-9]{2}$"
"Search for a string that is exactly the word 'data'.","^data$"
"Test whether the input is a string of at least five letters.","^[A-Za-z]{5,}$"
"Identify a string where one or more digits come immediately before the word 'job'.","^.*\d+job.*$"
"Find a string that is exactly the word 'report'.","^report$"
"Test whether the input is a string that starts with the word 'month'.","^month.*$"
"Identify a string of exactly one whitespace character.","^\s{1}$"
"Find a string that ends with the word 'admin'.","^.*admin$"
"Identify a string that starts with the word 'test'.","^test.*$"
"Search for a string where the substring 'time' is immediately followed by a six-digit id.","^.*time\d{6}.*$"
"Find a string that is exactly the word 'email'.","^email$"
"Extract a string where the word 'item' is followed by one or more digits.","^.*item\d+.*$"
"Extract a string where the substring 'session' is immediately followed by a five-digit id.","^.*session\d{5}.*$"
"Check if the input is a string where the substring 'minute' is immediately followed by a four-digit id.","^.*minute\d{4}.*$"
"Match a string of word characters that does not start with the word 'Admin', using a negative lookahead.","^(?!Admin)\w+$"
"Validate a string that ends with the word 'report'.","^.*report$"
"Detect a string that is exactly the word 'state'.","^state$"
"Find a string of three letters and three digits separated by a colon.","^[A-Za-z]{3}:[0-9]{3}$"
"Capture a string that is exactly the word 'token'.","^token$"
"Identify a string where one or more digits come immediately before the word 'year'.","^.*\d+year.*$"
"Test whether the input is a string of four uppercase letters and two digits separated by a dot.","^[A-Z]{4}\.[0-9]{2}$"
"Validate a string where one or more digits come immediately before the word 'login'.","^.*\d+login.*$"
"Identify a string that starts with the word 'country'.","^country.*$"
"Validate a string of exactly three letters.","^[A-Za-z]{3}$"
"Detect a string that ends with the word 'job'.","^.*job$"
"Check if the input is a string of exactly eight hexadecimal digits.","^[0-9A-Fa-f]{8}$"
"Check if the input is a string of three letters and two digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{2}$"
"Capture a string of word characters that does not start with the word 'Admin', using a negative lookahead.","^(?!Admin)\w+$"
"Match a string that is exactly the word 'phone'.","^phone$"
"Validate a string containing the standalone whole word 'test'.","^.*\btest\b.*$"
"Identify a string containing the standalone whole word 'beta'.","^.*\bbeta\b.*$"
"Validate a string where the substring 'job' is immediately followed by a five-digit id.","^.*job\d{5}.*$"
"Match a string that is exactly the word 'level'.","^level$"
"Capture a string made of three lowercase letters followed by three digits.","^[a-z]{3}[0-9]{3}$"
"Capture a string that ends with the word 'job'.","^.*job$"
"Identify a string where the substring 'gamma' is immediately followed by a five-digit id.","^.*gamma\d{5}.*$"
"Test whether the input is a string of at least two lowercase letters.","^[a-z]{2,}$"
"Test whether the input is a string that starts with the word 'login'.","^login.*$"
"Find a string where the substring 'state' is immediately followed by a two-digit id.","^.*state\d{2}.*$"
"Find a string of between three and five word characters.","^\w{3,5}$"
"Match a string of between two and six lowercase letters.","^[a-z]{2,6}$"
"Detect a string of exactly eight word characters.","^\w{8}$"
"Match a string where the substring 'session' is immediately followed by a three-digit id.","^.*session\d{3}.*$"
"Capture a string that starts with the word 'hour'.","^hour.*$"
"Identify a string made of four lowercase letters followed by two digits.","^[a-z]{4}[0-9]{2}$"
"Identify a string that starts with the word 'stack'.","^stack.*$"
"Detect a string made of four lowercase letters followed by one digit.","^[a-z]{4}[0-9]{1}$"
"Capture a string made of two uppercase letters followed by four digits.","^[A-Z]{2}[0-9]{4}$"
"Capture a string where the substring 'day' is immediately followed by a two-digit id.","^.*day\d{2}.*$"
"Search for a string made of one uppercase letter followed by three digits.","^[A-Z]{1}[0-9]{3}$"
"Check if the input is a string of two uppercase letters and four digits separated by a dot.","^[A-Z]{2}\.[0-9]{4}$"
"Match a string of word characters that does not start with the word 'Order', using a negative lookahead.","^(?!Order)\w+$"
"Find a string of exactly three consonants.","^[bcdfghjklmnpqrstvwxyz]{3}$"
"Match a string of two lowercase letters and four digits separated by a hyphen.","^[a-z]{2}-[0-9]{4}$"
"Identify a string where the substring 'year' is immediately followed by a five-digit id.","^.*year\d{5}.*$"
"Test whether the input is a string of two lowercase letters and two digits separated by a colon.","^[a-z]{2}:[0-9]{2}$"
